cohort_id	playlist_url	book_code	cohort	book_title
islr04	https://www.youtube.com/playlist?list=PL3x6DOfs2NGi9LAXM5kcyuN_bkN66TzUD	islr	4	ISLR
islr05	https://www.youtube.com/playlist?list=PL3x6DOfs2NGjbefZellBVB306_z8Wz1Xd	islr	5	ISLR
islr06	https://www.youtube.com/playlist?list=PL3x6DOfs2NGjlhpKMiWsDcKL2nngwXROq	islr	6	ISLR
js4ds01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGgwAfePIgOi6RqLABm2Rjkk	js4ds	1	JavaScript for Data Science
js4r01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGh1G-Jw5SriV2WPjLNXba2I	js4r	1	JavaScript for R
lsr01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGiuZtoxH4AMSs1ipevg0YFH	lsr	1	Learning Statistics with R
mdive01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGhiZCLU0V-fRA5ZGxdkb_n9	mdive	1	Modern Dive
mnetanal01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGhGpt1HrKzcZx6yU3ZMOnkL	mnetanal	1	Methods for Network Analysis
mshiny01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGi4B1Idnv8MLaUhFwOqfc3h	mshiny	1	Mastering Shiny
mshiny02	https://www.youtube.com/playlist?list=PL3x6DOfs2NGjhwrYvdmrKRNcvXX7X6ldt	mshiny	2	Mastering Shiny
mshiny03	https://www.youtube.com/playlist?list=PL3x6DOfs2NGg76TRO2h1vtBeRyRKjVZSb	mshiny	3	Mastering Shiny
mshiny04	https://www.youtube.com/playlist?list=PL3x6DOfs2NGgi_CE58EIdQT69b-H5g6ig	mshiny	4	Mastering Shiny
mshiny05	https://www.youtube.com/playlist?list=PL3x6DOfs2NGiTpUFDcEP-9aMsxBDJwhH9	mshiny	5	Mastering Shiny
mshiny06	https://www.youtube.com/playlist?list=PL3x6DOfs2NGgbWJlQaDBwQusQLpgfNVhL	mshiny	6	Mastering Shiny
mshiny07	https://www.youtube.com/playlist?list=PL3x6DOfs2NGiiLXikswk8EqOT80tsTIiQ	mshiny	7	Mastering Shiny
pdl01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGgEOjZduDTTXxDFWmYaLWIk	pdl	1	Practical Deep Learning for Coders
pkgcreationdocs01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGgMBt_kHAWoEFR-Zq2PLVGT	pkgcreationdocs	1	Package Docs: Package Creation
pml01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGjs5niH37HkkEGIuYF3QWqI	pml	1	Probabilistic Machine Learning: An Introduction
ppp01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGjHmqeIQSEM9Bkh39a7avsc	ppp	1	Practical Python Programming
prob4ds01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGjY32EzPm1jd3s9xaRDWlM2	prob4ds	1	Introduction to Probability for Data Science
probintro01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGgA54rXV2PHFjDGEGx9pZoW	probintro	1	Introduction to Probability
project_club	https://www.youtube.com/playlist?list=PL3x6DOfs2NGgRuMQogeHX0UTrGY_Ri6Y_	project_club	1	DSLC Project Club
py4da01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGh7IQIQ_pXNkjLVKa-7lgCw	py4da	1	Python for Data Analysis
py4da02	https://www.youtube.com/playlist?list=PL3x6DOfs2NGhGabQ06OuWkiDt8oQA9dX9	py4da	2	Python for Data Analysis
r4ds_es01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGiNnmvabmXRjORgu6F_1vGi	r4ds_es	1	R para Ciencia de Datos
r4ds01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGgUOBkwtRJQW0hDWCwdzboM	r4ds	1	R for Data Science
r4ds02	https://www.youtube.com/playlist?list=PL3x6DOfs2NGglHEO3WBEaxiEZ0_ZiwZJi	r4ds	2	R for Data Science
r4ds03	https://www.youtube.com/playlist?list=PL3x6DOfs2NGiiKcrDqW4m9qhlpbiQ7HCt	r4ds	3	R for Data Science
r4ds04	https://www.youtube.com/playlist?list=PL3x6DOfs2NGjtn1_4BSX99R5wrLjK7XvY	r4ds	4	R for Data Science
r4ds05	https://www.youtube.com/playlist?list=PL3x6DOfs2NGjk1sPsrn2CazGiel0yZrhc	r4ds	5	R for Data Science
r4ds06	https://www.youtube.com/playlist?list=PL3x6DOfs2NGiYnQdq8mgMBeob3YONUWRM	r4ds	6	R for Data Science
r4ds07	https://www.youtube.com/playlist?list=PL3x6DOfs2NGi3qrPu8xxURdUoYAJpko5G	r4ds	7	R for Data Science
r4ds08	https://www.youtube.com/playlist?list=PL3x6DOfs2NGjeq_14X43I3OHYxuE2mO4I	r4ds	8	R for Data Science
r4ds09	https://www.youtube.com/playlist?list=PL3x6DOfs2NGjVMs1NtbWu4s_ZgGhGKnrN	r4ds	9	R for Data Science
r4ds10	https://www.youtube.com/playlist?list=PL3x6DOfs2NGj_fqbuP0xWjm5pD9hz6G5Z	r4ds	10	R for Data Science
r4ds11	https://www.youtube.com/playlist?list=PL3x6DOfs2NGhcXLwZHIEnDLv2HhmhD4ma	r4ds	11	R for Data Science
rlang01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGin8PcTf1WqxJFWZsadHOpA	rlang	1	Package Docs: rlang
ros01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGi-qV3hhy95RxEtChyX6we3	ros	1	Regression and Other Stories
ros02	https://www.youtube.com/playlist?list=PL3x6DOfs2NGj4QAT3bvOaDICzyeN7k8tF	ros	2	Regression and Other Stories
rpkgs01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGiXMln8bxY7e0XgA5z1cp-8	rpkgs	1	R Packages
rpkgs02	https://www.youtube.com/playlist?list=PL3x6DOfs2NGhRtG2Oj1aI9mWTGY6KKUJB	rpkgs	2	R Packages
rpkgs03	https://www.youtube.com/playlist?list=PL3x6DOfs2NGi8NcKmNxw_Hk4-leUsivZv	rpkgs	3	R Packages
rpkgs04	https://www.youtube.com/playlist?list=PL3x6DOfs2NGhksG9nEcxtFD4ylI0LCMjZ	rpkgs	4	R Packages
rpkgs05	https://www.youtube.com/playlist?list=PL3x6DOfs2NGhXh0_1fKhoPQ9sm4OAf8oV	rpkgs	5	R Packages
rpkgs06	https://www.youtube.com/playlist?list=PL3x6DOfs2NGjSSjJdHz4uqeAxqiuBSEaz	rpkgs	6	R Packages
rust01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGi7HsPRKCXTf8OuyG9IwZeR	rust	1	The Rust Programming Language 
rwtf01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGh9gMfk2TPYQZBXcLZGqmuW	rwtf	1	What They Forgot to Teach You About R
shiny_club01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGiU6K4FAkVE3y0dZAcaTN3O	shiny_club	1	Shiny Club
shinyui01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGj-2gwtHsnJ0CwpoChYjrh6	shinyui	1	Outstanding User Interfaces with Shiny
shinyui02	https://www.youtube.com/playlist?list=PL3x6DOfs2NGhoKz3RSvwGxJYoCvE4MbnM	shinyui	2	Outstanding User Interfaces with Shiny
smltar01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGh6KLquvUFncXYxMFd7i_Kp	smltar	1	Supervised Machine Learning for Text Analysis in R
spacestats01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGhACUSnWhcsTLMbDikFQ8fL	spacestats	1	Spatial Statistics for Data Science: Theory and Practice with R
spatial01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGhADsCdfFtmaUsMglp2WDTp	spatial	1	Spatial Data Science with applications in R 
tidytext01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGj1c11v90WuBnlTzV1Lo3ml	tidytext	1	Text Mining with R
tidyversedocs01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGiVkfejuPOXYFHAggQvd6H3	tidyversedocs	1	Package Docs: tidyverse
tmwr_es01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGhd1Gli-IANpVZ9z6Zz5AAu	tmwr_es	1	Modelado Tidy con R
tmwr01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGgP7y2sOGcYNGFd_9pORpYG	tmwr	1	Tidy Modeling with R
tmwr02	https://www.youtube.com/playlist?list=PL3x6DOfs2NGggq4ssmi3KnOMwODhGz33W	tmwr	2	Tidy Modeling with R
tmwr03	https://www.youtube.com/playlist?list=PL3x6DOfs2NGiAi_0odUkLGxz0ZpFlugg-	tmwr	3	Tidy Modeling with R
tmwr04	https://www.youtube.com/playlist?list=PL3x6DOfs2NGgb6mnvCMUVWEQ4AtLsIxwS	tmwr	4	Tidy Modeling with R
tmwr05	https://www.youtube.com/playlist?list=PL3x6DOfs2NGgSt6vIGQWtLwZXS2Q7WZlE	tmwr	5	Tidy Modeling with R
torch01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGhm-maM8ZRC5GfHn6OzJWbH	torch	1	Deep Learning and Scientific Computing with R torch
wapir01	https://www.youtube.com/playlist?list=PL3x6DOfs2NGg-zPCeSCSp7tkkQBZNLDzv	wapir	1	Web APIs with R
